"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 14:02:35 GMT 2023","Wed Dec 27 14:02:35 GMT 2023","263","","test_pets","TestPetApi","","","test_adding_pet","
        Verify adding a new pet to the store
        "
"passed","Wed Dec 27 14:02:35 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","348","","test_pets","TestPetApi","","","test_updating_pet","
        Verify updating an existing pet
        "
"passed","Wed Dec 27 14:02:35 GMT 2023","Wed Dec 27 14:02:35 GMT 2023","273","","test_pets","TestPetApi","","","test_finding_pet_by_id","
        Verify finding pet by ID
        "
"passed","Wed Dec 27 14:02:36 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","0","","test_validation","TestValidation","","","test_pydantic_validate",""
"passed","Wed Dec 27 14:02:36 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","14","","test_validation","TestValidation","","","test_jsonschema_validate",""
"passed","Wed Dec 27 14:02:36 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","389","","test_pets","TestPetApi","","","test_updating_pet_by_id_and_status","
        Verify updating an existing pet
        "
"passed","Wed Dec 27 14:02:36 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","149","","test_pets","TestPetApi","","","test_finding_pets_by_status","
        Verify finding pets by statuses
        "
"passed","Wed Dec 27 14:02:35 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","592","","test_pets","TestPetApi","","","test_updating_pet_by_id_name_and_status","
        Verify updating an existing pet
        "
"passed","Wed Dec 27 14:02:36 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","260","","test_pets","TestPetApi","","","test_delete_pet","
        Verify deleting a pet
        "
"passed","Wed Dec 27 14:02:35 GMT 2023","Wed Dec 27 14:02:36 GMT 2023","618","","test_pets","TestPetApi","","","test_updating_pet_by_id_and_name","
        Verify updating an existing pet
        "
